timestamp,event,sender,receiver,est_x,est_y,distance,delay,snr,localization_mode,channel_mode,drop_reason,metric1,metric2,metric3
0.2,TX,fb_0,fb_1,-2.06535,-2.09535,5.65685,0.234162,53.0324,BAYESIAN,advanced_snr,none,0,0,0
0.2,DROP,fb_1,fb_0,2.00535,1.97535,5.65685,0,0,BAYESIAN,advanced_snr,collision,0,0,0
0.2,DROP,fb_2,fb_0,-0.03,-0.06,2.82843,0,0,BAYESIAN,advanced_snr,collision,0,0,0
0.5,RX,fb_0,fb_1,-2.06535,-2.09535,5.65685,0.234162,53.0324,BAYESIAN,advanced_snr,none,0,0,0
1.2,DROP,fb_0,fb_2,-2.05185,-2.08185,2.82843,0,0,BAYESIAN,advanced_snr,collision,0,0,0
1.2,DROP,fb_1,fb_2,1.99185,1.96185,2.82843,0,0,BAYESIAN,advanced_snr,collision,0,0,0
1.2,TX,fb_2,fb_1,-0.0300001,-0.0600001,2.82843,0.287977,20.4328,BAYESIAN,advanced_snr,none,0,0,0
1.5,RX,fb_2,fb_1,-0.0300001,-0.0600001,2.82843,0.287977,20.4328,BAYESIAN,advanced_snr,none,0,0,0
2.2,TX,fb_0,fb_1,-2.05185,-2.08185,5.65685,0.234162,3.27597,BAYESIAN,advanced_snr,none,0,0,0
2.2,DROP,fb_1,fb_0,1.99185,1.96185,5.65685,0,0,BAYESIAN,advanced_snr,collision,0,0,0
2.2,DROP,fb_2,fb_0,-0.03,-0.06,2.82843,0,0,BAYESIAN,advanced_snr,collision,0,0,0
2.5,RX,fb_0,fb_1,-2.05185,-2.08185,5.65685,0.234162,3.27597,BAYESIAN,advanced_snr,none,0,0,0
3.2,DROP,fb_0,fb_2,-2.05185,-2.08185,2.82843,0,0,BAYESIAN,advanced_snr,collision,0,0,0
3.2,DROP,fb_1,fb_2,1.99185,1.96185,2.82843,0,0,BAYESIAN,advanced_snr,collision,0,0,0
3.2,TX,fb_2,fb_1,-0.03,-0.06,2.82843,0.287977,-7.432,BAYESIAN,advanced_snr,none,0,0,0
3.5,RX,fb_2,fb_1,-0.03,-0.06,2.82843,0.287977,-7.432,BAYESIAN,advanced_snr,none,0,0,0
4.2,DROP,fb_0,fb_1,-2.05185,-2.08185,5.65685,0.00377124,-3.60778,BAYESIAN,advanced_snr,loss,0,0,0
4.2,DROP,fb_1,fb_0,1.99185,1.96185,5.65685,0,0,BAYESIAN,advanced_snr,collision,0,0,0
4.2,DROP,fb_2,fb_0,-0.03,-0.06,2.82843,0,0,BAYESIAN,advanced_snr,collision,0,0,0
5.2,DROP,fb_0,fb_2,-2.05185,-2.08185,2.82843,0,0,BAYESIAN,advanced_snr,collision,0,0,0
5.2,DROP,fb_1,fb_2,1.99185,1.96185,2.82843,0,0,BAYESIAN,advanced_snr,collision,0,0,0
5.2,DROP,fb_2,fb_1,-0.03,-0.06,2.82843,0.00188562,41.1045,BAYESIAN,advanced_snr,loss,0,0,0
6.2,DROP,fb_0,fb_1,-2.05185,-2.08185,5.65685,0.00377124,12.6769,BAYESIAN,advanced_snr,loss,0,0,0
6.2,DROP,fb_1,fb_0,1.99185,1.96185,5.65685,0,0,BAYESIAN,advanced_snr,collision,0,0,0
6.2,DROP,fb_2,fb_0,-0.03,-0.06,2.82843,0,0,BAYESIAN,advanced_snr,collision,0,0,0
7.2,DROP,fb_0,fb_2,-2.05185,-2.08185,2.82843,0,0,BAYESIAN,advanced_snr,collision,0,0,0
7.2,DROP,fb_1,fb_2,1.99185,1.96185,2.82843,0,0,BAYESIAN,advanced_snr,collision,0,0,0
7.2,DROP,fb_2,fb_1,-0.03,-0.06,2.82843,0.00188562,-16.4169,BAYESIAN,advanced_snr,loss,0,0,0
8.2,DROP,fb_0,fb_1,-2.05185,-2.08185,5.65685,0.00377124,-14.1496,BAYESIAN,advanced_snr,loss,0,0,0
8.2,DROP,fb_1,fb_0,1.99185,1.96185,5.65685,0,0,BAYESIAN,advanced_snr,collision,0,0,0
8.2,DROP,fb_2,fb_0,-0.03,-0.06,2.82843,0,0,BAYESIAN,advanced_snr,collision,0,0,0
9.2,DROP,fb_0,fb_2,-2.05185,-2.08185,2.82843,0,0,BAYESIAN,advanced_snr,collision,0,0,0
9.2,DROP,fb_1,fb_2,1.99185,1.96185,2.82843,0,0,BAYESIAN,advanced_snr,collision,0,0,0
9.2,TX,fb_2,fb_1,-0.03,-0.06,2.82843,0.287977,7.12647,BAYESIAN,advanced_snr,none,0,0,0
9.5,RX,fb_2,fb_1,-0.03,-0.06,2.82843,0.287977,7.12647,BAYESIAN,advanced_snr,none,0,0,0
10.2,TX,fb_0,fb_1,-2.05185,-2.08185,5.65685,0.234162,26.9091,BAYESIAN,advanced_snr,none,0,0,0
10.2,DROP,fb_1,fb_0,1.99185,1.96185,5.65685,0,0,BAYESIAN,advanced_snr,collision,0,0,0
10.2,DROP,fb_2,fb_0,-0.03,-0.06,2.82843,0,0,BAYESIAN,advanced_snr,collision,0,0,0
10.5,RX,fb_0,fb_1,-2.05185,-2.08185,5.65685,0.234162,26.9091,BAYESIAN,advanced_snr,none,0,0,0
11.2,DROP,fb_0,fb_2,-2.05185,-2.08185,2.82843,0,0,BAYESIAN,advanced_snr,collision,0,0,0
11.2,DROP,fb_1,fb_2,1.99185,1.96185,2.82843,0,0,BAYESIAN,advanced_snr,collision,0,0,0
